time,open,high,low,close,vwap,volume,count
2025-05-28 00:59:00,271.25,271.25,271.25,271.25,271.24999999999994,0.087899,2.0
2025-05-28 01:00:00,271.33,271.33,271.23,271.23,271.2429308494873,2.24726866,5.0
2025-05-28 01:01:00,271.16,271.16,271.16,271.16,271.16,0.28,1.0
2025-05-28 01:02:00,270.77,270.83,270.68,270.76,270.74276589061213,74.96889262,18.0
2025-05-28 01:03:00,270.77,270.83,270.68,270.76,270.74276589061213,0.0,0.0
2025-05-28 01:04:00,270.77,270.83,270.68,270.76,270.74276589061213,0.0,0.0
2025-05-28 01:05:00,270.26,270.26,270.21,270.21,270.2270277807244,24.290943669999997,10.0
2025-05-28 01:06:00,270.26,270.26,270.21,270.21,270.2270277807244,0.0,0.0
2025-05-28 01:07:00,270.26,270.26,270.21,270.21,270.2270277807244,0.0,0.0
2025-05-28 01:08:00,270.55,270.55,270.55,270.55,270.55,0.37868023,2.0
2025-05-28 01:09:00,270.6,270.6,270.56,270.56,270.58834773863936,11.60762096,5.0
2025-05-28 01:10:00,270.64,270.64,270.64,270.64,270.64,0.64247373,1.0
2025-05-28 01:11:00,270.48,270.48,270.48,270.48,270.48,0.120935,1.0
2025-05-28 01:12:00,270.38,270.41,270.38,270.41,270.3961805550095,0.64597244,3.0
2025-05-28 01:13:00,270.25,270.25,270.25,270.25,270.25,0.06451,1.0
2025-05-28 01:14:00,270.21,270.21,270.16,270.16,270.20345934595014,0.75228975,3.0
2025-05-28 01:15:00,270.21,270.21,270.16,270.16,270.20345934595014,0.0,0.0
2025-05-28 01:16:00,270.12,270.13,270.12,270.13,270.1204510059001,28.070231000000003,8.0
2025-05-28 01:17:00,270.12,270.13,270.12,270.13,270.1204510059001,0.0,0.0
2025-05-28 01:18:00,270.16,270.16,270.13,270.14,270.1329014336625,2.96360124,4.0
2025-05-28 01:19:00,270.13,270.13,269.77,269.77,270.01083107255835,11.26522601,20.0
2025-05-28 01:20:00,269.86,269.86,269.78,269.82,269.80473495221474,0.64060241,3.0
2025-05-28 01:21:00,269.94,270.02,269.94,270.02,269.9916055357255,0.05156036,2.0
2025-05-28 01:22:00,270.03,270.03,270.03,270.03,270.03,0.03118172,1.0
2025-05-28 01:23:00,270.03,270.03,270.03,270.03,270.03,0.02721919,1.0
2025-05-28 01:24:00,270.02,270.02,270.02,270.02,270.02,0.37034292,2.0
2025-05-28 01:25:00,269.78,269.78,269.78,269.78,269.78,0.2391119,1.0
2025-05-28 01:26:00,269.78,269.78,269.78,269.78,269.78,0.0,0.0
2025-05-28 01:27:00,269.79,269.79,269.77,269.77,269.77964770154716,3.99005414,7.0
2025-05-28 01:28:00,269.79,269.79,269.77,269.77,269.77964770154716,0.0,0.0
2025-05-28 01:29:00,269.66,269.66,269.65,269.65,269.6502280775703,4.06481575,5.0
2025-05-28 01:30:00,269.41,269.41,269.26,269.26,269.35486490829334,0.28783002999999996,4.0
2025-05-28 01:31:00,269.41,269.41,269.26,269.26,269.35486490829334,0.0,0.0
2025-05-28 01:32:00,269.41,269.41,269.26,269.26,269.35486490829334,0.0,0.0
2025-05-28 01:33:00,269.45,269.45,269.44,269.45,269.4400850098119,5.4136891899999995,15.0
2025-05-28 01:34:00,269.59,269.9,269.54,269.9,269.58159910073283,18.02800387,18.0
2025-05-28 01:35:00,269.9,270.05,269.9,270.05,270.0499730987016,0.18662668000000002,2.0
2025-05-28 01:36:00,270.04,270.14,269.9,270.14,269.92845292788274,0.45937768,3.0
2025-05-28 01:37:00,270.04,270.14,269.9,270.14,269.92845292788274,0.0,0.0
2025-05-28 01:38:00,269.94,269.94,269.94,269.94,269.94,0.037055,1.0
2025-05-28 01:39:00,269.94,269.94,269.94,269.94,269.94,0.0,0.0
2025-05-28 01:40:00,269.59,269.59,269.59,269.59,269.59,0.18666327,1.0
2025-05-28 01:41:00,269.59,269.59,269.59,269.59,269.59,0.0,0.0
2025-05-28 01:42:00,269.59,269.59,269.59,269.59,269.59,0.0,0.0
2025-05-28 01:43:00,269.59,269.59,269.59,269.59,269.59,0.0,0.0
2025-05-28 01:44:00,269.74,269.74,269.58,269.58,269.6662494349869,0.055087220000000006,2.0
2025-05-28 01:45:00,269.59,269.59,269.59,269.59,269.59,0.0928,1.0
2025-05-28 01:46:00,269.59,269.59,269.59,269.59,269.59,0.0,0.0
2025-05-28 01:47:00,269.59,269.59,269.59,269.59,269.59,0.0,0.0
2025-05-28 01:48:00,270.02,270.47,270.02,270.39,270.0647775213818,3.28187628,8.0
2025-05-28 01:49:00,270.35,270.64,270.35,270.64,270.5424316066084,0.25830383,4.0
2025-05-28 01:50:00,270.54,270.54,270.33,270.33,270.5039442619636,17.05551688,7.0
2025-05-28 01:51:00,270.33,270.52,270.33,270.52,270.3466762037057,2.3638503699999998,6.0
2025-05-28 01:52:00,270.14,270.14,270.12,270.12,270.13215307481624,0.60928324,2.0
2025-05-28 01:53:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:54:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:55:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:56:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:57:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:58:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 01:59:00,270.14,270.14,270.12,270.12,270.13215307481624,0.0,0.0
2025-05-28 02:00:00,269.51,269.51,269.51,269.51,269.51,0.66598888,1.0
2025-05-28 02:01:00,269.53,269.53,269.53,269.53,269.53,0.20167,1.0
2025-05-28 02:02:00,269.53,269.53,269.53,269.53,269.53,0.0,0.0
2025-05-28 02:03:00,269.53,269.53,269.53,269.53,269.53,0.0,0.0
2025-05-28 02:04:00,269.53,269.53,269.53,269.53,269.53,0.0,0.0
2025-05-28 02:05:00,269.5,269.5,269.21,269.21,269.4204898741925,2.84114824,6.0
2025-05-28 02:06:00,269.13,269.13,269.13,269.13,269.13,0.03713883,1.0
2025-05-28 02:07:00,269.13,269.13,269.13,269.13,269.13,0.0,0.0
2025-05-28 02:08:00,269.23,269.24,269.23,269.24,269.23433704729547,0.83437038,3.0
2025-05-28 02:09:00,269.23,269.24,269.23,269.24,269.23433704729547,0.0,0.0
2025-05-28 02:10:00,269.13,269.13,269.13,269.13,269.13,0.63862858,2.0
2025-05-28 02:11:00,269.13,269.13,269.13,269.13,269.13,0.0,0.0
2025-05-28 02:12:00,269.13,269.13,269.13,269.13,269.13,0.0,0.0
2025-05-28 02:13:00,269.13,269.13,269.13,269.13,269.13,0.0,0.0
2025-05-28 02:14:00,269.13,269.13,269.13,269.13,269.13,0.0,0.0
2025-05-28 02:15:00,269.17,269.17,269.12,269.12,269.1604488981913,1.3774170000000001,2.0
2025-05-28 02:16:00,269.0,269.0,268.6,268.84,268.77790754191614,100.64740938999998,28.0
2025-05-28 02:17:00,268.57,268.57,268.51,268.51,268.56661599856125,2.3637262999999997,2.0
